epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.577153,0.95661,0.25,1,0.91427,7.14e-06,7.14e-06,7.14e-06
2,1.44037,0.69327,0.5,1,0.78031,1.92994e-05,1.92994e-05,1.92994e-05
3,2.0583,0.90905,0.5,1,0.68359,2.86314e-05,2.86314e-05,2.86314e-05
4,2.64436,0.79792,0.5,1,0.59798,3.51359e-05,3.51359e-05,3.51359e-05
5,3.21513,0.74706,0.75,1,0.53206,3.8813e-05,3.8813e-05,3.8813e-05
6,3.829,0.59931,0.75,1,0.53206,3.96627e-05,3.96627e-05,3.96627e-05
7,4.47216,0.75408,0.75,1,0.42712,3.76849e-05,3.76849e-05,3.76849e-05
8,5.02269,0.66731,0.75,1,0.45927,3.28797e-05,3.28797e-05,3.28797e-05
9,5.62356,0.53368,0.75,1,0.45927,2.5247e-05,2.5247e-05,2.5247e-05
10,6.25102,0.66143,0.75,1,0.481,1.47869e-05,1.47869e-05,1.47869e-05
